Name,Author,Old_Price,New_Price,Ratings,Discount(%)
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read book on spirituality and self-improvement by Sadhguru",Sadhguru,239,299,4.8,20.0
Lets Crack SSB Interview,SSBCrack,451,451,4.7,0.0
Doglapan,Ashneer Grover,364,499,4.4,27.0
Atomic Habits,James Clear,606,891,4.6,32.0
General Knowledge for All - 2023,RPH Editorial Board,21,35,N/A,40.0
33 Days Challenge CBSE Class 10 Pack of 3 Mathematics Standard Science Social Science for 2024 Board Exam (Includes Sample Papers) by Padhle Akshay,Akshay Kumar,773,773,N/A,0.0
It Ends with Us,Colleen Hoover,351,495,4.4,29.0
The Psychology of Money,Morgan Housel,301,396,4.5,24.0
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,524,749,4.1,30.0
Blackbook of English Vocabulary,"Gupta, Nikhil K.R.",1889,1889,N/A,0.0
Indian Polity for UPSC (English)|7th Edition|Civil Services Exam| State Administrative Exams,M Laxmikanth,807,1090,N/A,26.0
Ikigai,Francesc Miralles,396,550,4.0,28.0
Bhagavad Gita: Yatharoop,A.C. Bhaktivedanta Swami Prabhupada,455,650,4.3,30.0
Power of Your Subconscious Mind,Joseph Murphy,209,275,4.0,24.0
How to Read a Book,Mortimer J. Adler,365,599,4.3,39.0
Educart English Paper 1 (Language) + English Paper 2 (Literature) ICSE Semester 1 Class 10 Sample Papers MCQ Book For 2021 (Study With Sudhir),Educart|T S Sudhir,289,289,3.5,0.0
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,"Dale Carnegie, Napoleon Hill, Dr. Joseph Murphy & George S. Clason",489,699,4.6,30.0
Colouring Books Boxset,Wonder House Books,447,629,4.5,29.0
201 Brain Booster Activity Book: Fun Activities and Exercises,Wonder House Books,89,149,4.4,40.0
It Starts with Us,Colleen Hoover,416,693,4.5,40.0
Indian Sex Life,Durba Mitra,361,495,N/A,27.0
